Seder - Hebrew	Seder - Artscroll-Style Transliteration	Seder - Sefaradit	Name - Hebrew	Name - Artscroll-Style Transliteration	Name - Sefaradit	Perakim	Mishnayos	Mishnayos Per Perek	Dapim - Bavli (based on KosherJava)	Dapim learned in Daf Yomi cycle - based on KosherJava -- includes Yerushalmi Shekalim and Mishnayos Middos and Kinim	Name - KosherJava	Notes	Numbering	Dapim - Yerushalmi (based on KosherJava)	Dapim - Yerushalmi -- (according to https://en.wikipedia.org/wiki/List_of_Talmudic_tractates which uses Oz Vehadar)
זרעים	Zera'im	Zera'im	ברכות	Berachos	Berakhot	9	57	5_8_6_7_5_8_5_8_5	63	63	Berachos		2a-64a	68	94
זרעים	Zera'im	Zera'im	פאה	Pe'ah	Pe'ah	8	69	6_8_8_11_8_11_8_9	0	0				37	73
זרעים	Zera'im	Zera'im	דמאי	Demai	Demai	7	53	4_5_6_7_11_12_8	0	0				34	77
זרעים	Zera'im	Zera'im	כלאים	Kil'ayim	Kil'ayim	9	77	9_11_7_9_8_9_8_6_10	0	0				44	84
זרעים	Zera'im	Zera'im	שביעית	Shevi'is	Shevi'it	10	89	8_10_10_10_9_6_7_11_9_9	0	0				31	87
זרעים	Zera'im	Zera'im	תרומות	Terumos	Terumot	11	101	10_6_9_13_9_6_7_12_7_12_10	0	0				59	107
זרעים	Zera'im	Zera'im	מעשרות	Ma'aseros	Ma'aserot	5	40	8_8_10_6_8	0	0				26	46
זרעים	Zera'im	Zera'im	מעשר שני	Ma'aser Sheini	Ma'aser Sheni	5	57	7_10_13_12_15	0	0				33	59
זרעים	Zera'im	Zera'im	חלה	Challah	Hallah	4	38	9_8_10_11	0	0				28	49
זרעים	Zera'im	Zera'im	ערלה	Orlah	Orlah	3	35	9_17_9	0	0				20	42
זרעים	Zera'im	Zera'im	ביכורים	Bikurim	Bikurim	4	39	11_11_12_5	0	0				13	26
מועד	Mo'ed	Mo'ed	שבת	Shabbos	Shabbat	24	139	11_7_6_2_4_10_4_7_7_6_6_6_7_4_3_8_8_3_6_5_3_6_5_5	156	156	Shabbos		2a-157b	92	113
מועד	Mo'ed	Mo'ed	עירובין	Eruvin	Eruvin	10	96	10_6_9_11_9_10_11_11_4_15	104	104	Eruvin		2a-105a	65	71
מועד	Mo'ed	Mo'ed	פסחים	Pesachim	Pesahim	10	89	7_8_8_9_10_6_13_8_11_9	120	120	Pesachim		2a-121b	71	86
מועד	Mo'ed	Mo'ed	שקלים	Shekalim	Shekalim	8	52	7_5_4_9_6_6_7_8	0	21	Shekalim	Note: learned in bavli daf yomi cycle. Numbering is in vilna. Note: in old cycles it was based on a different edition that had 9 pages less, see https://github.com/KosherJava/zmanim/blob/master/src/main/java/com/kosherjava/zmanim/hebrewcalendar/YomiCalculator.java	2a-22b	33	21
מועד	Mo'ed	Mo'ed	יומא	Yoma	Yoma	8	61	8_7_11_6_7_8_5_9	87	87	Yoma		2a-88a	42	57
מועד	Mo'ed	Mo'ed	סוכה	Succah	Succah	5	53	11_9_15_10_8	55	55	Sukkah		2a-56b	26	33
מועד	Mo'ed	Mo'ed	ביצה	Beitzah	Beitzah	5	42	10_10_8_7_7	39	39	Beitzah		2a-40b	22	49
מועד	Mo'ed	Mo'ed	ראש השנה	Rosh HaShanah	Rosh HaShanah	4	35	9_9_8_9	34	34	Rosh Hashana		2a-35a	22	27
מועד	Mo'ed	Mo'ed	תענית	Ta'anis	Ta'anit	4	34	7_10_9_8	30	30	Taanis		2a-31a	26	31
מועד	Mo'ed	Mo'ed	מגילה	Megillah	Megillah	4	33	11_6_6_10	31	31	Megillah		2a-32a	34	41
מועד	Mo'ed	Mo'ed	מועד קטן	Mo'ed Katan	Mo'ed Katan	3	24	10_5_9	28	28	Moed Katan		2a-29a	19	23
