פרק,פסוקים
א,א_ב_ג_ד_ה_ו
ב,א_ב_ג_ד_ה_ו_ז_ח_ט_י_יא_יב
ג,א_ב_ג_ד_ה_ו_ז_ח_ט
ד,א_ב_ג_ד_ה_ו_ז_ח_ט
ה,א_ב_ג_ד_ה_ו_ז_ח_ט_י_יא_יב_יג
ו,א_ב_ג_ד_ה_ו_ז_ח_ט_י_יא
ז,א_ב_ג_ד_ה_ו_ז_ח_ט_י_יא_יב_יג_יד_טו_טז_יז_יח
ח,א_ב_ג_ד_ה_ו_ז_ח_ט_י_יא
ט,א_ב_ג_ד_ה_ו_ז_ח_ט_י_יא_יב_יג_יד_טו_טז_יז_יח_יט_כ_כא
י,א_ב_ג_ד_ה_ו_ז_ח_ט_י_יא_יב_יג_יד_טו_טז_יז_יח
יא,א_ב_ג_ד_ה_ו_ז
יב,א_ב_ג_ד_ה_ו_ז_ח_ט
יג,א_ב_ג_ד_ה_ו_ז_ח_ט
יד,א_ב_ג_ד_ה_ו_ז_ח_ט
טו,א_ב_ג_ד_ה
טז,א_ב_ג_ד_ה_ו_ז_ח_ט_י_יא
יז,א_ב_ג_ד_ה_ו_ז_ח_ט_י_יא_יב_יג_יד_טו
יח,א_ב_ג_ד_ה_ו_ז_ח_ט_י_יא_יב_יג_יד_טו_טז_יז_יח_יט_כ_כא_כב_כג_כד_כה_כו_כז_כח_כט_ל_לא_לב_לג_לד_לה_לו_לז_לח_לט_מ_מא_מב_מג_מד_מה_מו_מז_מח_מט_נ_נא
יט,א_ב_ג_ד_ה_ו_ז_ח_ט_י_יא_יב_יג_יד_טו
כ,א_ב_ג_ד_ה_ו_ז_ח_ט_י
כא,א_ב_ג_ד_ה_ו_ז_ח_ט_י_יא_יב_יג_יד
כב,א_ב_ג_ד_ה_ו_ז_ח_ט_י_יא_יב_יג_יד_טו_טז_יז_יח_יט_כ_כא_כב_כג_כד_כה_כו_כז_כח_כט_ל_לא_לב
כג,א_ב_ג_ד_ה_ו
כד,א_ב_ג_ד_ה_ו_ז_ח_ט_י
כה,א_ב_ג_ד_ה_ו_ז_ח_ט_י_יא_יב_יג_יד_טו_טז_יז_יח_יט_כ_כא_כב
כו,א_ב_ג_ד_ה_ו_ז_ח_ט_י_יא_יב
כז,א_ב_ג_ד_ה_ו_ז_ח_ט_י_יא_יב_יג_יד
כח,א_ב_ג_ד_ה_ו_ז_ח_ט
כט,א_ב_ג_ד_ה_ו_ז_ח_ט_י_יא
ל,א_ב_ג_ד_ה_ו_ז_ח_ט_י_יא_יב_יג
לא,א_ב_ג_ד_ה_ו_ז_ח_ט_י_יא_יב_יג_יד_טו_טז_יז_יח_יט_כ_כא_כב_כג_כד_כה
לב,א_ב_ג_ד_ה_ו_ז_ח_ט_י_יא
לג,א_ב_ג_ד_ה_ו_ז_ח_ט_י_יא_יב_יג_יד_טו_טז_יז_יח_יט_כ_כא_כב
לד,א_ב_ג_ד_ה_ו_ז_ח_ט_י_יא_יב_יג_יד_טו_טז_יז_יח_יט_כ_כא_כב_כג
לה,א_ב_ג_ד_ה_ו_ז_ח_ט_י_יא_יב_יג_יד_טו_טז_יז_יח_יט_כ_כא_כב_כג_כד_כה_כו_כז_כח
לו,א_ב_ג_ד_ה_ו_ז_ח_ט_י_יא_יב_יג
לז,א_ב_ג_ד_ה_ו_ז_ח_ט_י_יא_יב_יג_יד_טו_טז_יז_יח_יט_כ_כא_כב_כג_כד_כה_כו_כז_כח_כט_ל_לא_לב_לג_לד_לה_לו_לז_לח_לט_מ
לח,א_ב_ג_ד_ה_ו_ז_ח_ט_י_יא_יב_יג_יד_טו_טז_יז_יח_יט_כ_כא_כב_כג
לט,א_ב_ג_ד_ה_ו_ז_ח_ט_י_יא_יב_יג_יד
מ,א_ב_ג_ד_ה_ו_ז_ח_ט_י_יא_יב_יג_יד_טו_טז_יז_יח
מא,א_ב_ג_ד_ה_ו_ז_ח_ט_י_יא_יב_יג_יד
מב,א_ב_ג_ד_ה_ו_ז_ח_ט_י_יא_יב
מג,א_ב_ג_ד_ה
מד,א_ב_ג_ד_ה_ו_ז_ח_ט_י_יא_יב_יג_יד_טו_טז_יז_יח_יט_כ_כא_כב_כג_כד_כה_כו_כז
מה,א_ב_ג_ד_ה_ו_ז_ח_ט_י_יא_יב_יג_יד_טו_טז_יז_יח
מו,א_ב_ג_ד_ה_ו_ז_ח_ט_י_יא_יב
מז,א_ב_ג_ד_ה_ו_ז_ח_ט_י
מח,א_ב_ג_ד_ה_ו_ז_ח_ט_י_יא_יב_יג_יד_טו
מט,א_ב_ג_ד_ה_ו_ז_ח_ט_י_יא_יב_יג_יד_טו_טז_יז_יח_יט_כ_כא
נ,א_ב_ג_ד_ה_ו_ז_ח_ט_י_יא_יב_יג_יד_טו_טז_יז_יח_יט_כ_כא_כב_כג
נא,א_ב_ג_ד_ה_ו_ז_ח_ט_י_יא_יב_יג_יד_טו_טז_יז_יח_יט_כ_כא
נב,א_ב_ג_ד_ה_ו_ז_ח_ט_י_יא
נג,א_ב_ג_ד_ה_ו_ז
נד,א_ב_ג_ד_ה_ו_ז_ח_ט
נה,א_ב_ג_ד_ה_ו_ז_ח_ט_י_יא_יב_יג_יד_טו_טז_יז_יח_יט_כ_כא_כב_כג_כד
נו,א_ב_ג_ד_ה_ו_ז_ח_ט_י_יא_יב_יג_יד
נז,א_ב_ג_ד_ה_ו_ז_ח_ט_י_יא_יב
נח,א_ב_ג_ד_ה_ו_ז_ח_ט_י_יא_יב
נט,א_ב_ג_ד_ה_ו_ז_ח_ט_י_יא_יב_יג_יד_טו_טז_יז_יח
ס,א_ב_ג_ד_ה_ו_ז_ח_ט_י_יא_יב_יג
סא,א_ב_ג_ד_ה_ו_ז_ח_ט
סב,א_ב_ג_ד_ה_ו_ז_ח_ט_י_יא_יב_יג
סג,א_ב_ג_ד_ה_ו_ז_ח_ט_י_יא_יב
סד,א_ב_ג_ד_ה_ו_ז_ח_ט_י_יא
סה,א_ב_ג_ד_ה_ו_ז_ח_ט_י_יא_יב_יג_יד
סו,א_ב_ג_ד_ה_ו_ז_ח_ט_י_יא_יב_יג_יד_טו_טז_יז_יח_יט_כ
סז,א_ב_ג_ד_ה_ו_ז_ח
סח,א_ב_ג_ד_ה_ו_ז_ח_ט_י_יא_יב_יג_יד_טו_טז_יז_יח_יט_כ_כא_כב_כג_כד_כה_כו_כז_כח_כט_ל_לא_לב_לג_לד_לה_לו
סט,א_ב_ג_ד_ה_ו_ז_ח_ט_י_יא_יב_יג_יד_טו_טז_יז_יח_יט_כ_כא_כב_כג_כד_כה_כו_כז_כח_כט_ל_לא_לב_לג_לד_לה_לו_לז
ע,א_ב_ג_ד_ה_ו
עא,א_ב_ג_ד_ה_ו_ז_ח_ט_י_יא_יב_יג_יד_טו_טז_יז_יח_יט_כ_כא_כב_כג_כד
עב,א_ב_ג_ד_ה_ו_ז_ח_ט_י_יא_יב_יג_יד_טו_טז_יז_יח_יט_כ
עג,א_ב_ג_ד_ה_ו_ז_ח_ט_י_יא_יב_יג_יד_טו_טז_יז_יח_יט_כ_כא_כב_כג_כד_כה_כו_כז_כח
עד,א_ב_ג_ד_ה_ו_ז_ח_ט_י_יא_יב_יג_יד_טו_טז_יז_יח_יט_כ_כא_כב_כג
עה,א_ב_ג_ד_ה_ו_ז_ח_ט_י_יא
עו,א_ב_ג_ד_ה_ו_ז_ח_ט_י_יא_יב_יג
עז,א_ב_ג_ד_ה_ו_ז_ח_ט_י_יא_יב_יג_יד_טו_טז_יז_יח_יט_כ_כא
